;word;synonim
145;здоровье;['самочувствие', 'безболезненность', 'медицина', 'здоровьечко', 'здоровьице']
146;зима;['холод', 'зимушка', 'стужа', 'мороз', 'сезон']
147;упасть;[]
148;перестать;[]
149;десяток;['десять', 'десятка', 'декурия', 'декада', 'десяточек']
150;глубина;['пучина', 'бездна', 'углубленность', 'пропасть', 'глубь']
151;сеть;['система', 'линия', 'распредсеть', 'энергосеть', 'теплоснабжение']
152;студент;['второкурсник', 'вузовец', 'слушатель', 'универсант', 'учащийся']
153;обладать;[]
154;секунда;['интервал', 'мгновение', 'миг', 'момент', 'секундочка']
155;скорость;['быстрота', 'темп', 'резвость', 'внезапность', 'проворство']
156;поиск;['отбор', 'отыскание', 'розыск', 'выискивание', 'отыскивание']
157;европейский;['общеевропейский']
158;суть;['сущность', 'основное', 'соль', 'ядро', 'экстракт']
159;налог;['пошлина', 'подать', 'мыт', 'сбор', 'побор']
160;ошибка;['упущение', 'опечатка', 'описка', 'погрешность', 'ляп']
161;ближайший;['соседний', 'первоочередной', 'закадычный', 'проксимальный', 'непосредственный']
162;отечественный;['национальный', 'местный', 'российский', 'свой', 'наш']
163;теплый;['утеплённый', 'нагретый', 'насиженный', 'тепленький', 'ласковый']
164;плакать;[]
165;духовный;['моральный', 'бестелесный', 'метафизический', 'беспредметный', 'душевный']
166;доход;['прибыль', 'приход', 'профит', 'прибыток', 'достаток']
167;прежний;['бывший', 'былой', 'давний', 'старый', 'стародавний']
168;режиссер;['радиорежиссер', 'телережиссер', 'главреж', 'постановщик', 'кинорежиссер']
169;поверхность;['покрытие', 'гладь', 'наружность', 'текстура', 'уровень']
170;ощущение;['чувство', 'предчувствие', 'чувствование', 'впечатление', 'парестезия']
171;состояться;[]
172;карта;['чертеж', 'листок', 'картишки', 'двухверстка', 'валет']
173;клуб;['тусовка', 'спортклуб', 'автоклуб', 'видеоклуб', 'радиоклуб']
174;семь;['цифра', 'семера', 'семерочка', 'число']
175;станция;['пневмонагнетатель', 'остановка', 'вентстанция', 'компрессор', 'маслостанция']
176;революция;['переворот', 'восстание', 'мятеж', 'смена']
177;колено;['звено', 'изгиб', 'коленце', 'кривизна', 'сгиб']
178;министерство;['минфин', 'минтруд', 'минэкономразвитие', 'адмиралтейство', 'минобразования']
179;стекло;['оргстекло', 'перлит', 'триплекс', 'кронглас', 'флинт']
180;этаж;['ярус', 'подклет', 'империал', 'бельэтаж', 'аттик']
181;остальной;['другой', 'прочий', 'остаток']
182;высота;['возвышение', 'вышина', 'эфир', 'нагорье', 'повышение']
183;наоборот;['напротив', 'навыворот', 'противоположно', 'поперек', 'обратно']
184;бабушка;['старушка', 'бабуля', 'бабуся', 'бабулечка', 'бабуленька']
185;двое;['тандем', 'пара']
186;поверить;[]
187;трубка;['фурма', 'дрот', 'стетоскоп', 'сильфон', 'катетер']
188;собрать;['коллекционировать', 'приготовить', 'смонтировать', 'скопить']
189;профессиональный;['квалифицированный', 'безупречный', 'высококлассный', 'мастерский', 'высокопрофессиональный']
190;французский;['запошивочный', 'галльский', 'фрэнчовый', 'венерический']
191;женский;['дамский', 'сарафанный', 'сарафановый', 'бабий', 'бабский']
192;крайний;['крутой', 'кромочный', 'бортный', 'всеконечный', 'последний']
193;простить;[]
194;газ;['аргон', 'кислород', 'аммиак', 'азот', 'хлор']
195;естественно;['разумеется', 'безусловно', 'безоговорочно', 'природно', 'неподдельно']
196;мастер;['специалист', 'умелец', 'сэнсэй', 'органист', 'химмастер']
197;вниз;['книзу', 'долу', 'майна', 'наземь', 'ниже']
198;главное;['основное', 'суть', 'сущность', 'существо', 'содержание']
199;поведение;['поступки', 'действия', 'норов', 'нрав', 'токование']
200;рассматривать;[]
201;перейти;[]
202;мешать;[]
203;давай;['нуте', 'дай', 'дайте', 'выкладывай', 'ну']
204;столица;['метрополис', 'канберра', 'загреб', 'косово', 'любляна']
205;механизм;['устройство', 'приспособление', 'электромеханизм', 'сервомеханизм', 'шлеппер']
206;передача;['трансфер', 'воссоздание', 'показ', 'переложение', 'телетрансляция']
207;божий;['небесный', 'господний', 'всевышний', 'господень', 'божье']
208;исчезнуть;[]
209;способность;['умение', 'возможность', 'навык', 'дарование', 'дар']
210;подход;['направление', 'метод', 'путь', 'доступ', 'подходец']
211;разумеется;['конечно', 'несомненно', 'очевидно', 'понятно', 'вестимо']
212;столько;['таково', 'так', 'столь', 'настолько', 'столечко']
213;энергия;['ресурс', 'активность', 'электроэнергия', 'темперамент', 'предприимчивость']
214;дальнейший;['будущий', 'предстоящий', 'грядущий', 'следующий', 'последующий']
215;существование;['реальность', 'жизнь', 'наличие', 'наличествование', 'бытование']
216;исполнение;['выполнение', 'производство', 'реализация', 'осуществление', 'проигрывание']
217;сорок;['сороковуха', 'единица', 'сороковник', 'число', 'округ']
218;кино;['кинофильм', 'кинотеатр', 'киноискусство', 'синема', 'кинематография']
219;сожаление;['соболезнование', 'боль', 'жалость', 'печаль', 'раскаяние']
220;заместитель;['преемник', 'наместник', 'наследник', 'замена', 'зам']
221;мол;['дескать', 'де', 'насыпь', 'пирс', 'гать']
222;объявить;[]
223;отличаться;[]
224;естественный;['натуральный', 'природный', 'настоящий', 'нативный', 'самородный']
225;ресурс;['средство', 'резерв', 'возможность', 'биоресурс', 'энергоресурс']
226;обращаться;[]
227;акция;['предложение', 'подарок', 'бумага', 'поступок', 'выступление']
228;информационный;['радиоинформационный', 'справочный', 'энергоинформационный', 'видеоинформационный', 'измерительноинформационный']
229;рождение;['порождение', 'происхождение', 'образование', 'начало', 'возникновение']
230;снимать;[]
231;явно;['приметно', 'очевидно', 'воочию', 'воочью', 'въяве']
232;администрация;['руководство', 'управление', 'начальство', 'власти', 'ландсгевдинг']
233;железный;['твердый', 'стальной', 'твердокаменный', 'сильный', 'могучий']
234;пригласить;[]
235;соответствовать;['отвечать']
236;стоимость;['цена', 'прайс', 'достоинство', 'вага', 'лэндинг']
237;улыбка;['ухмылка', 'улыбочка', 'смех', 'усмешка', 'лыба']
238;артист;['циркач', 'лицедей', 'гастролер', 'актер', 'художник']
239;горячий;['жаркий', 'запальчивый', 'теплый', 'нагретый', 'накаленный']
240;закрыть;[]
241;придумать;['изобрести', 'надумать', 'фантазировать']
242;пожалуйста;['идет', 'приплыли', 'извольте', 'изволь', 'прошу']
243;попробовать;[]
244;приводить;[]
245;сосед;['соседушка', 'припольщик', 'шабер']
246;фраза;['выражение', 'оборот', 'высказывание', 'тирада', 'скороговорка']
247;веселый;['радостный', 'юморной', 'забавный', 'счастливый', 'смешной']
248;фигура;['образ', 'изваяние', 'гипербатон', 'ранверсман', 'комплекция']
249;достигнуть;[]
250;субъект;['лицо', 'личность', 'человек', 'элемент', 'фигура']
251;утверждать;['предположить', 'мнить']
252;реакция;['отзыв', 'ответ', 'микрореакция', 'рефлекс', 'гидрирование']
253;список;['перечень', 'ведомость', 'чарт', 'формуляр', 'указатель']
254;фотография;['фотопортрет', 'астрофотография', 'фотоснимок', 'фото', 'карточка']
255;журналист;['репортер', 'газетчик', 'корреспондент', 'радиожурналист', 'тележурналист']
256;май;['месяц', 'первомай']
257;означать;[]
258;платить;[]
259;нарушение;['расстройство', 'несоблюдение', 'сбой', 'развал', 'дислокация']
260;заседание;['директорат', 'совет', 'летучка', 'совещание', 'пятиминутка']
261;толпа;['орда', 'кагал', 'плебс', 'ватага', 'люд']
262;больница;['клиника', 'поликлиника', 'лечебница', 'горбольница', 'медсанчасть']
263;существо;['особь', 'создание', 'творение', 'тварь', 'суть']
264;решать;[]
265;интересно;['занимательно', 'познавательно', 'увлекательно', 'занятно', 'небезынтересно']
266;официальный;['публичный', 'торжественный', 'парадный', 'служебный', 'форменный']
267;свойство;['особенность', 'качество', 'признак', 'характеристика', 'оттенок']
268;долг;['задолженность', 'призвание', 'обязанность', 'обязательство', 'рестант']
269;поколение;['гаметофит', 'генерация', 'колено', 'проталлий']
270;серый;['хмурый', 'безжизненный', 'дымчатый', 'мышиный', 'серенький']
271;животное;['зверек', 'четвероногий', 'зверь', 'зверюга', 'существо']
272;схема;['план', 'проект', 'сценарий', 'микросхема', 'макросхема']
273;усилие;['старание', 'уcердие', 'потуга', 'сверхусилие', 'надрыв']
274;отличие;['различие', 'разница', 'разность', 'различность', 'несходность']
275;опасный;['рискованный', 'небезопасный', 'угрожающий', 'жуткий', 'неблагонамеренный']
276;определять;[]
277;остров;['сулавеси', 'хонсю', 'хоккайдо', 'ломбок', 'кенгуру']
278;наблюдать;['смотреть']
279;противник;['враг', 'оппонент', 'неприятель', 'злоумышленник', 'преследователь']
280;волна;['сейша', 'кучерявка', 'плазмон', 'анасейма', 'катасейма']
281;погибнуть;[]
282;разговаривать;['общаться', 'беседовать']
283;прочий;['прочая', 'другой', 'иной', 'остальной']
284;реализация;['осуществление', 'выполнение', 'сбыт', 'воплощение', 'совершение']
285;страница;['страничка', 'лист', 'вакат', 'биг', 'полоса']
286;формирование;['развитие', 'создание', 'становление', 'образование', 'возникновение']
287;житель;['обитатель', 'жилец', 'насельник', 'важник', 'островитянин']
288;устроить;[]
289;есть;['возможно', 'кушать', 'перекусить', 'сделал', 'употреблять']
290;красота;['великолепие', 'изящество', 'краса', 'живописность', 'изящность']
291;правильно;['безупречно', 'верно', 'точно', 'справедливо', 'корректно']
292;благодаря;['вследствие', 'также']
293;птица;['пташка', 'птичка', 'птаха', 'кукушка', 'щегол']
294;собраться;[]
295;достать;[]
296;растение;['акант', 'алканна', 'асфодил', 'дигиталис', 'драцена']
297;тень;['силуэт', 'подозрение', 'видимость', 'тенечек', 'звукотень']
298;явление;['феномен', 'проявление', 'обнаружение', 'реалия', 'оказывание']
299;храм;['мечеть', 'святилище', 'церковь', 'молельня', 'синагога']
300;запах;['аромат', 'дух', 'благоухание', 'зловоние', 'смрад']
301;слабый;['хилый', 'небольшой', 'некрепкий', 'слабовольный', 'скупой']
302;водка;['пшеничная', 'рябиновая', 'сибирская', 'славянская', 'столичная']
303;наличие;['существование', 'присутствие', 'факт', 'реальность', 'бытование']
304;пожалуй;['очевидно', 'вероятно', 'возможно', 'поди', 'небось']
305;яркий;['эффектный', 'выразительный', 'красочный', 'броский', 'сочный']
306;ужас;['кошмар', 'жуть', 'паника', 'деймос', 'трепет']
307;одежда;['гардероб', 'платье', 'кухлянка', 'спецодежда', 'чадра']
308;ездить;[]
309;кресло;['трон', 'седалище', 'креслице', 'сиденье', 'мебель']
310;больной;['пациент', 'болезненный', 'рахитичный', 'венерик', 'противоестественный']
311;поезд;['состав', 'локомотив', 'метропоезд', 'товарняк', 'порожняк']
312;университет;['вуз', 'заведение', 'учреждение', 'сорбонна', 'ситет']
313;летний;['раннелетний', 'неотапливаемый', 'холодный']
314;дополнительный;['вспомогательный', 'добавочный', 'сверхштатный', 'нагрузочный', 'сверхкомплектный']
315;понравиться;[]
316;традиция;['обычай', 'норма', 'установление', 'ценность', 'принято']
317;адрес;['местоположение', 'местожительство', 'надсыл', 'домицилий', 'прописка']
318;декабрь;[]
319;ладонь;['длань', 'пригоршня', 'ладоши', 'ладошка', 'хваталка']
320;поздно;['запоздно', 'запоздало', 'поздненько', 'поздновато']
321;сведение;['редуцирование', 'контрактура']
322;правильный;['верный', 'корректный', 'хороший', 'безукоризненный', 'безошибочный']
323;цветок;['растение', 'цветочек', 'соцветие', 'флердоранж', 'грандифлора']
324;выполнять;['работать']
325;лесной;['боровой', 'дивий', 'город', 'неморальный']
326;лидер;['руководитель', 'глава', 'чемпион', 'вожак', 'первый']
327;октябрь;['месяц', 'грязник']
328;занятие;['лекция', 'деятельность', 'урок', 'тренировка', 'хобби']
329;заставить;[]
330;объяснять;[]
331;сентябрь;['вресень', 'месяц']
332;помещение;['комната', 'кабинет', 'салон', 'поветь', 'складирование']
333;прочее;[]
334;согласно;['исходя', 'сообразно', 'соответственно', 'применительно', 'пропорционально']
335;январь;['месяц', 'януарий', 'сечень', 'просинец', 'генварь']
336;выполнить;['исполнить']
337;зритель;['кинозритель', 'телезритель', 'наблюдатель', 'слушатель', 'публика']
338;постепенно;['поэтапно', 'исподволь', 'понемножку', 'потихоньку', 'полегонечку']
339;резко;['быстро', 'грубо', 'швырком', 'отчетисто', 'круто']
340;редакция;['исправление', 'изменение', 'формулировка', 'вариант', 'проверка']
341;указать;[]
342;умный;['мудрый', 'смышленый', 'рассудительный', 'понятливый', 'разумный']
343;стиль;['вкус', 'образ', 'манера', 'дух', 'почерк']
344;весна;['сезон']
345;северный;['бореальный', 'полуночный', 'полнощный', 'полночный', 'нордовый']
346;фактор;['причина', 'момент', 'резон', 'консигнатор', 'бальнефактор']
347;август;['месяц', 'имя', 'густарь']
348;известие;['весточка', 'ведомость', 'пулька', 'сообщение', 'извещение']
349;зависимость;['взаимозависимость', 'связанность', 'несамостоятельность', 'обусловленность', 'корреляция']
350;охрана;['защита', 'охранение', 'караул', 'гвардия', 'предохранение']
351;ясный;['безмрачный', 'выпуклый', 'категорический', 'безоблачный', 'бесспорный']
352;милый;['ненаглядный', 'приятный', 'обходительный', 'дорогой', 'драгоценный']
353;оборудование;['оснащение', 'устройство', 'техника', 'установка', 'машина']
354;светлый;['ясный', 'яркий', 'лучистый', 'безмрачный', 'безоблачный']
355;концерт;['выступление', 'радиоконцерт', 'исполнение', 'произведение', 'концертино']
356;отделение;['отвод', 'отчеркивание', 'извлечение', 'декантация', 'купелирование']
357;расход;['трата', 'затрата', 'потребление', 'расходование', 'перевод']
358;редкий;['раритетный', 'реликтовый', 'редкостный', 'самобытный', 'штучный']
359;выставка;['экспозиция', 'показ', 'мероприятие', 'паноптикум', 'чемпионат']
360;милиция;['гормилиция', 'ополчение', 'спецмилиция', 'власть', 'легавка']
361;верный;['точный', 'честный', 'безопасный', 'неизменяющий', 'бессомненный']
362;вздохнуть;[]
363;юридический;['законоведческий', 'правовой', 'правоведческий', 'адвокатский']
364;находить;[]
365;переход;['трансформация', 'обращение', 'гомопереход', 'проход', 'теплопереход']
366;закончить;[]
367;эпоха;['голоцен', 'патриархат', 'конкиста', 'олигоцен', 'плейстоцен']
368;запад;['вест', 'закат', 'западня', 'западыня', 'заклон']
369;признать;[]
370;произведение;['творение', 'работа', 'труд', 'детище', 'проведение']
371;родина;['отечество', 'отчизна', 'прародина', 'колыбель']
372;собственность;['имущество', 'аллод', 'владение', 'госсобственность', 'достояние']
373;тайна;['секрет', 'загадка', 'таинство', 'мистерия', 'энигма']
374;хотя;['однако', 'правда', 'хоть', 'но', 'поне']
375;четвертый;[]
376;административный;['управленческий', 'общеадминистративный']
377;трава;['растение', 'травушка', 'наркотик', 'план', 'конопля']
378;дойти;[]
379;лагерь;['становище', 'кемпинг', 'парковка', 'пионерлагерь', 'соцлагерь']
380;вопервых;[]
381;имущество;['собственность', 'владение', 'патримониум', 'реквизит', 'утварь']
382;кивнуть;[]
383;кровать;['постель', 'мебель', 'ложе', 'кроватка', 'койка']
384;понятно;['разъяснимо', 'внятно', 'отчетливо', 'очевидно', 'несомненно']
385;настолько;['так', 'столь', 'настоль', 'таково', 'столько']
386;обратить;[]
387;узкий;['небольшой', 'узенький', 'куцый', 'тесный', 'узок']
388;абсолютно;['совершенно', 'совсем', 'всецело', 'решительно', 'неограниченно']
389;аппарат;['прибор', 'агрегат', 'машина', 'пылеконцентратор', 'фальцаппарат']
390;несколько;['ряд', 'немного', 'серия', 'отчасти', 'капельку']
391;очевидно;['бесспорно', 'несомненно', 'явно', 'видимо', 'разумеется']
392;середина;['центр', 'миттельшпиль', 'серединка', 'середка', 'средина']
393;узнавать;[]
394;встретиться;[]
395;март;['месяц']
396;художественный;['красивый', 'высокохудожественный', 'живописный', 'эстетический', 'образный']
397;клиент;['покупатель', 'потребитель', 'заказчик', 'пользователь', 'абонент']
398;лично;['непосредственно', 'приватно', 'сам', 'собственнолично', 'интимно']
399;дама;['женщина', 'дамочка', 'особа', 'леди', 'партнерша']
400;обратно;['взад', 'назад', 'вспять', 'наоборот', 'противоположно']
401;предусмотреть;[]
402;фронт;['армия', 'окклюзия', 'строй', 'сторона', 'объединение']
403;древний;['старинный', 'далекий', 'давностный', 'незапамятный', 'прошлый']
404;отрасль;['область', 'хозяйство', 'раздел', 'ветвь', 'ответвление']
405;стул;['кресло', 'мебель', 'стулья', 'дифрос', 'клисмос']
406;беседа;['разговор', 'болтовня', 'толкование', 'разговаривание', 'совещание']
407;массовый;['многочисленный', 'широкий', 'повальный', 'валовой', 'массный']
408;обеспечивать;[]
409;генеральный;['главный', 'верховный', 'основной', 'кардинальный', 'краеугольный']
410;замечательный;['восхитительный', 'несравненный', 'офигительный', 'непревзойденный', 'сказочный']
411;хоть;['хотя', 'например', 'примерно', 'так', 'скажем']
412;двигаться;[]
413;законодательство;['закон', 'право', 'принуждение']
414;продажа;['реализация', 'сбыт', 'торговля', 'аукцион', 'сбывание']
415;повышение;['увеличение', 'усиление', 'рост', 'возрастание', 'ревалоризация']
416;содержать;['вмещать']
417;страшно;['жутко', 'сильно', 'устрашающе', 'больно', 'смертельно']
418;прежде;['до', 'заранее', 'предварительно', 'раньше', 'заблаговременно']
419;музей;['галерея', 'паноптикум', 'глиптотека', 'пинакотека', 'кунсткамера']
420;задний;['последний', 'хвостовой', 'возвратный', 'попятный', 'обратный']
421;региональный;['территориальный', 'местный', 'областной', 'районный']
422;след;['отпечаток', 'признак', 'трек', 'ихнита', 'рубец']
423;изпод;[]
424;полковник;['чин', 'полкан', 'штандартенфюрер', 'оберфюрер', 'оберст']
425;приезжать;[]
426;сомнение;['неуверенность', 'нерешительность', 'опасение', 'недоверие', 'колебание']
427;понимание;['осознание', 'познавание', 'постигание', 'усвоение', 'мерекание']
428;здоровый;['выносливый', 'ядреный', 'сильный', 'полезный', 'большенный']
429;держаться;[]
430;обеспечить;['позволить', 'обусловить', 'осуществить']
431;слегка;['чуток', 'чуточку', 'капельку', 'маленько', 'немного']
432;апрель;['месяц', 'цветень', 'кветень', 'весна']
433;князь;['раджа', 'титул', 'даймио', 'магараджа', 'конек']
434;поступить;[]
435;рыба;['тунец', 'кефаль', 'даммара', 'люр', 'менек']
436;привыкнуть;[]
437;активный;['деятельный', 'инициативный', 'динамичный', 'энергичный', 'предприимчивый']
438;литературный;['беллетристический', 'писательский', 'словесный']
439;открывать;[]
440;собственно;['именно', 'практически', 'фактически', 'действительно']
441;дума;['песня', 'парламент', 'раздумье', 'мысль', 'размышление']
442;еще;['единаче', 'вторично', 'вдобавок', 'паки', 'вновь']
443;неужели;['разве', 'или', 'будто', 'неужто', 'ужели']
444;кодекс;['акт', 'книга', 'упк', 'рукопись', 'бусидо']
445;сутки;['день', 'кальпа']
446;чудо;['волшебство', 'мечта', 'феномен', 'сказка', 'прелесть']
447;вырасти;[]
448;шея;['шейка', 'выя', 'шеища', 'хомут']
449;зайти;[]
450;судья;['арбитражер', 'кади', 'кадий', 'казий', 'рефери']
451;острый;['клиновидный', 'критический', 'накаленный', 'наточенный', 'двуострый']
